Agno;Tipo Institucion;Matricula primer agno hombres;Matricula primer agno mujeres
2023;Univ.;68;82
2023;Univ.;54;45
2023;Univ.;353;234
2023;Univ.;101;86
2023;Univ.;76;56
2023;Univ.;37;31
2023;Univ.;62;148
2023;Univ.;9;20
2023;Univ.;1;25
2023;Univ.;126;128
2023;Univ.;;
2023;Univ.;19;73
2023;Univ.;8;27
2023;Univ.;35;38
2023;Univ.;0;0
2023;Univ.;15;12
2023;Univ.;7;1
2023;Univ.;3;0
2023;Univ.;3;28
2023;Univ.;46;105
2023;Univ.;;
2023;Univ.;150;179
2023;Univ.;14;25
2023;Univ.;11;14
2023;Univ.;18;34
2023;Univ.;;
2023;Univ.;28;3
2023;Univ.;;
2023;Univ.;20;4
2023;Univ.;10;10
2023;Univ.;21;21
2023;Univ.;12;11
2023;Univ.;36;69
2023;Univ.;20;28
2023;Univ.;15;39
2023;Univ.;66;71
2023;Univ.;40;70
2023;Univ.;47;58
2023;Univ.;21;50
2023;Univ.;233;280
2023;Univ.;0;45
2023;Univ.;8;31
2023;Univ.;18;25
2023;Univ.;44;16
2023;Univ.;20;3
2023;Univ.;36;49
2023;Univ.;48;27
2023;Univ.;30;22
2023;Univ.;48;47
2023;Univ.;37;68
2023;Univ.;25;57
2023;Univ.;28;95
2023;Univ.;8;47
2023;Univ.;34;36
2023;Univ.;102;127
2023;Univ.;21;47
2023;Univ.;2;95
2023;Univ.;39;85
2023;Univ.;72;89
2023;Univ.;41;63
2023;Univ.;9;57
2023;Univ.;16;13
2023;Univ.;33;37
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;;
2023;Univ.;636;307
2023;Univ.;;
2023;Univ.;10;27
2023;Univ.;20;29
2023;Univ.;26;7
2023;Univ.;31;36
2023;Univ.;284;183
2023;Univ.;0;0
2023;Univ.;134;87
2023;Univ.;16;20
2023;Univ.;0;0
2023;Univ.;22;71
2023;Univ.;17;34
2023;Univ.;70;107
2023;Univ.;10;54
2023;Univ.;13;82
2023;Univ.;23;17
2023;Univ.;0;0
2023;Univ.;27;176
2023;Univ.;15;13
2023;Univ.;0;0
2023;Univ.;21;47
2023;Univ.;16;33
2023;Univ.;28;21
2023;Univ.;32;13
2023;Univ.;32;14
2023;Univ.;58;14
2023;Univ.;212;193
2023;Univ.;36;11
2023;Univ.;;
2023;Univ.;19;17
2023;Univ.;0;0
2023;Univ.;21;50
2023;Univ.;168;186
2023;Univ.;22;30
2023;Univ.;3;4
2023;Univ.;57;99
2023;Univ.;0;0
2023;Univ.;44;116
2023;Univ.;34;45
2023;Univ.;11;70
2023;Univ.;185;176
2023;Univ.;2;42
2023;Univ.;0;121
2023;Univ.;0;32
2023;Univ.;27;192
2023;Univ.;8;31
2023;Univ.;9;14
2023;Univ.;8;11
2023;Univ.;48;38
2023;Univ.;6;6
2023;Univ.;9;41
2023;Univ.;25;24
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;36;93
2023;Univ.;21;16
2023;Univ.;37;30
2023;Univ.;32;35
2023;Univ.;9;14
2023;Univ.;3;36
2023;Univ.;15;56
2023;Univ.;7;9
2023;Univ.;15;121
2023;Univ.;4;66
2023;Univ.;45;55
2023;Univ.;40;58
2023;Univ.;14;63
2023;Univ.;22;53
2023;Univ.;38;62
2023;Univ.;6;75
2023;Univ.;154;60
2023;Univ.;30;54
2023;Univ.;63;14
2023;Univ.;550;252
